Designator,Mid X,Mid Y,Rotation,Layer
D1,123.0,-60.0,180.0,top
D2,142.5,-60.0,180.0,top
D3,161.75,-60.125,180.0,top
D4,180.5,-60.5,180.0,top
D5,123.0,-79.0,180.0,top
D6,142.5,-79.0,180.0,top
OLED,189.1,-70.5,0.0,top
R_EN,102.5,-70.5,0.0,top
SW1,123.0,-49.41,0.0,top
SW2,142.17,-49.41,0.0,top
SW3,161.34,-49.41,0.0,top
SW4,180.5,-49.41,0.0,top
SW5,123.0,-68.41,0.0,top
SW6,142.1,-68.41,0.0,top
U1,102.0,-51.036142,0.0,top
